epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,2026.14,1.07902,0.79082,1.22461,0.81365,0.64685,0.75429,0.42133,1.52756,1.08964,1.49395,0.0008714,0.0008714,0.0008714
59,2060.94,1.02804,0.76466,1.19336,0.8034,0.63727,0.73416,0.40867,1.5371,1.18077,1.50025,0.0008516,0.0008516,0.0008516
60,2095.76,1.04024,0.77762,1.20523,0.72712,0.65966,0.75119,0.41205,1.54365,1.13205,1.48817,0.0008318,0.0008318,0.0008318
61,2130.35,1.04647,0.7652,1.20912,0.77731,0.62573,0.7336,0.40582,1.54517,1.15423,1.48073,0.000812,0.000812,0.000812
62,2165.03,1.03665,0.75758,1.19673,0.76694,0.65887,0.73976,0.42281,1.49355,1.13767,1.43247,0.0007922,0.0007922,0.0007922
63,2199.79,1.01947,0.75429,1.19017,0.76009,0.66081,0.74254,0.42063,1.51768,1.11809,1.4765,0.0007724,0.0007724,0.0007724
64,2234.47,1.01321,0.74573,1.20002,0.81241,0.64161,0.74173,0.39217,1.55062,1.14823,1.4758,0.0007526,0.0007526,0.0007526
65,2269.3,1.02948,0.74269,1.19228,0.71885,0.69396,0.73724,0.41244,1.55173,1.15138,1.47328,0.0007328,0.0007328,0.0007328
66,2303.9,1.03593,0.76114,1.1966,0.74358,0.6331,0.72154,0.39503,1.59015,1.22987,1.52514,0.000713,0.000713,0.000713
67,2338.74,0.99975,0.7348,1.18092,0.77583,0.6679,0.74156,0.41219,1.56897,1.11537,1.50991,0.0006932,0.0006932,0.0006932
68,2373.57,0.98862,0.71394,1.17993,0.74739,0.66472,0.74047,0.40475,1.55483,1.16455,1.50027,0.0006734,0.0006734,0.0006734
69,2408.19,1.0167,0.74555,1.19779,0.77096,0.66926,0.73481,0.40857,1.52229,1.15892,1.4739,0.0006536,0.0006536,0.0006536
